time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
373,839,153,313344,-0.026285138723324053,0.9519211,0.311572265625,1520,-0.056378886103630066,0.2,0.047479946,0.010226927521580364,-0.8074641738086938,0.0003
375,839,154,315392,-0.01628169416071614,0.88260865,0.166162109375,1530,-0.0368301123380661,0.2,0.033041082,0.009877454457455314,-0.5598257765173912,0.0003
378,839,155,317440,-0.0422753704508068,0.87256336,0.338818359375,1540,-0.034014612436294556,0.2,0.0532761,0.013353649292548652,-0.49812864102423193,0.0003
380,839,156,319488,-0.015226855681976303,0.93903106,0.245166015625,1550,-0.020077794790267944,0.2,0.043317664,0.011228495695831953,-0.7595376132056118,0.0003
382,839,157,321536,-0.009566239640116691,0.9160058,0.18974609375,1560,-0.006514858454465866,0.2,0.021516576,0.011867679178249092,-0.735692341811955,0.0003
385,839,158,323584,-0.01065777291660197,0.89885074,0.23359375,1570,-0.011996952816843987,0.2,0.034078907,0.0070673284062650055,-0.717251629754901,0.0003
387,839,159,325632,-0.03661133456771495,0.71879137,0.272998046875,1580,-0.06406670063734055,0.2,0.09473638,0.01985855026578065,-0.5579694868065417,0.0003
390,839,160,327680,-0.00847163807193283,0.780528,0.225146484375,1590,-0.05406534671783447,0.2,0.05660758,0.019254719687160103,-0.468681457452476,0.0003
392,840,161,329728,-0.001984926358272787,0.7982486,0.18349609375,1600,0.0029097890947014093,0.2,0.028098054,0.015164285377250054,-0.39077616622671485,0.0003
394,840,162,331776,-0.006235431929962942,0.9430665,0.191357421875,1610,-0.019761044532060623,0.2,0.027147174,0.01085956708266167,-0.573510087840259,0.0003
397,840,163,333824,-0.015107285440899431,0.34582663,0.20703125,1620,-0.04814992472529411,0.2,0.044422597,0.02388870272843633,-0.4441620086785406,0.0003
399,840,164,335872,-0.012082140253914986,0.9525235,0.248876953125,1630,-0.05454171076416969,0.2,0.04303959,0.01555000968364766,-0.6612253395840526,0.0003
402,840,165,337920,-0.042462031671311705,0.8875904,0.282861328125,1640,-0.06842930614948273,0.2,0.039971042,0.012286318125552498,-0.6691867109388113,0.0003
404,840,166,339968,-0.018219671008409932,0.9132755,0.176220703125,1650,0.012136822566390038,0.2,0.032451108,0.012143161126004998,-0.40556891467422246,0.0003
407,840,167,342016,-0.033656416220765095,0.82231224,0.242822265625,1660,-0.04638870060443878,0.2,0.042664804,0.019951933098491283,-0.36292742351070045,0.0003
409,840,168,344064,-0.018660627343342638,0.5058961,0.26669921875,1670,-0.047016095370054245,0.2,0.054749206,0.012905066266830545,-0.42787409042939545,0.0003
411,840,169,346112,-0.005134675867157057,0.9673017,0.217724609375,1680,0.01421015989035368,0.2,0.01690299,0.008041800320643232,-0.8272245336323977,0.0003
414,840,170,348160,-0.04316432355844881,0.53100336,0.389404296875,1690,-0.08601455390453339,0.2,0.059279602,0.00784214554078062,-0.4667188118211925,0.0003
416,840,171,350208,-0.05276576830947306,0.45827335,0.306884765625,1700,-0.07016731798648834,0.2,0.045753144,0.024589162232587114,-0.3662498344667256,0.0003
419,840,172,352256,-0.0005410125479102135,0.9151546,0.384228515625,1710,0.018188826739788055,0.2,0.21401656,0.013438032273552381,-0.402905792510137,0.0003
421,840,173,354304,-0.023293533967807888,0.9835778,0.27646484375,1720,-0.07479707151651382,0.2,0.059607,0.007467631882173009,-0.5656899517402053,0.0003
424,840,174,356352,-0.01267282651970163,0.69801617,0.186572265625,1730,0.017147600650787354,0.2,0.035165288,0.009306571872730273,-0.35752233732491734,0.0003
426,840,175,358400,-0.009901856680517084,0.7584948,0.478076171875,1740,-0.09389349818229675,0.2,0.12370586,0.013945734852313763,-0.43555923164822163,0.0003
428,840,176,360448,-0.008513302971550729,0.7697793,0.30576171875,1750,-0.0869947299361229,0.2,0.1270631,0.010871486428368372,-0.3802450599614531,0.0003
431,840,177,362496,-0.023741570572019553,0.19333297,0.21630859375,1760,0.011311652138829231,0.2,0.028883139,0.01804610625258647,-0.3558040206320584,0.0003
